policy,seed,fleet,chargers,sites,battery_kwh,sample_frac,requests,service_rate,lost_rate,wait_mean_min,wait_p50_min,wait_p95_min,trips_per_vehicle_day,util_with_rider,share_charging_or_queued,share_idle,empty_km_share,charge_km_per_vehicle_day,sessions_per_vehicle_day,queue_wait_mean_min,queue_wait_p95_min,grid_mwh_per_day,energy_cost_usd_per_day,avg_price_usd_mwh,peak_charging_mw,depletions,energy_residual_kwh,runtime_s,events,label
threshold_80,0,550,36,6,40.0,0.2,149106,0.933510388582619,0.06648961141738093,6.764102015500208,6.880201703722317,9.810455257915017,36.153766233766234,0.3480481974320202,0.0256824955891442,0.4626250726146767,0.31423705334581087,2.2238391765829375,1.0187012987012987,9.119329601968763,49.85094676632369,14.979363348627688,562.5902066374334,37.55768476561951,3.121945794290015,0,-7.922608347143978e-08,9.999168415990425,573059,E8_ablation
threshold_80,1,550,36,6,40.0,0.2,149094,0.9303660777764363,0.06963392222356365,6.8877273587174335,7.127875310387269,9.824241314344738,36.02909090909091,0.34678945496485536,0.02249966373454023,0.46740483101728647,0.3148682694968953,2.3367774488584243,1.0376623376623377,3.9242404961234905,23.792742105313895,15.242963053006678,541.8031665454126,35.54447810844374,3.2333902775500594,0,-7.905327947810292e-08,10.179129124997417,576536,E8_ablation
threshold_80,2,550,36,6,40.0,0.2,148774,0.933294796133733,0.06670520386626695,6.862900601958118,7.091133448725062,9.817645691232174,36.064935064935064,0.3479044331923443,0.022399731303877422,0.4659119953667815,0.3141716880344467,2.2985515398670944,1.0311688311688312,3.95474418990074,23.90343364664078,15.167328810901788,531.6121856788518,35.04982270159174,3.1669165161021353,0,-7.92824721429497e-08,10.17315904199495,575270,E8_ablation
threshold_80,3,550,36,6,40.0,0.2,148559,0.9283853553133772,0.07161464468662282,6.896080826144891,7.1271556100303615,9.820897138110256,35.823376623376625,0.34482466142397006,0.023016680458863303,0.4695816943361268,0.31483916591288347,2.3257450293219213,1.0254545454545454,5.004482401818944,28.429833397991796,15.07726602088358,539.2648239605827,35.766751293878144,3.1929250722815463,0,-8.318420441355556e-08,10.178666291991249,574673,E8_ablation
threshold_80,4,550,36,6,40.0,0.2,148727,0.9352437687844171,0.06475623121558291,6.816996810247025,6.972602785449514,9.814395734137847,36.12883116883117,0.3484672399384783,0.024291745557172256,0.46360899914047105,0.31411639350968895,2.3024999812461187,1.0301298701298702,6.706541524450196,36.27170589203403,15.151016230877275,551.4592509182112,36.397509085519644,3.119898518800872,0,-8.051028999034315e-08,10.220662292005727,573815,E8_ablation
threshold_80,5,550,36,6,40.0,0.2,148738,0.9207196546948325,0.07928034530516748,6.890057944967941,7.125191334241633,9.82995709810663,35.57038961038961,0.3424493957735723,0.02306191747482569,0.4742467186576139,0.312895021655792,2.335035147427707,1.0316883116883118,4.946318376601921,29.486052585742186,15.162803044094826,551.8601033716966,36.395652028641194,3.19015045281238,0,-8.290771802421659e-08,10.300035959022352,573350,E8_ablation
orchestrated,0,550,36,6,40.0,0.2,149106,0.9602564618459352,0.039743538154064895,6.4438892732631645,6.294555498206076,9.74272345837824,37.18961038961039,0.3593754781421855,0.042670710411454024,0.4272321872311191,0.32826475678173733,5.51344515330222,1.345974025974026,20.107364367147035,112.96860430917792,15.964387321860963,460.69031379342545,28.857375137884276,3.54128529198801,0,-6.115260475780815e-08,10.868347875017207,571332,E8_ablation
orchestrated,1,550,36,6,40.0,0.2,149094,0.9621044441761574,0.03789555582384268,6.365821776162219,6.14427246735019,9.729758682215518,37.25818181818182,0.3602152397737238,0.04060211119918317,0.42856921335840537,0.3273020495131856,5.59986564634349,1.3545454545454547,17.749942915359938,104.72755273918781,15.851910446671328,455.29193050176764,28.721581038036483,3.5605885080038404,0,-6.024674803484231e-08,10.72027537500253,568696,E8_ablation
orchestrated,2,550,36,6,40.0,0.2,148774,0.9642746716496162,0.035725328350383806,6.367029661246232,6.174429420428351,9.720895595235245,37.26207792207792,0.36127860206794143,0.04114625046515393,0.42657961245554815,0.32696206551273993,5.576472489839362,1.3831168831168832,17.67868894823149,103.0225996343714,15.938516723239266,460.98833114894416,28.922912913018866,3.654050928554489,0,-5.882066034246236e-08,10.736028915998759,567415,E8_ablation
orchestrated,3,550,36,6,40.0,0.2,148559,0.9629103588473267,0.037089641152673346,6.3608686909980285,6.150359166360189,9.715819019525272,37.155584415584414,0.35981346156266814,0.03941189185418702,0.4304417441434107,0.32741303651515097,5.668668988076193,1.3696103896103897,16.133426498133932,101.84932628308198,15.939878185305233,460.8799279230749,28.91364178353346,3.5736644373242825,0,-6.106165528763086e-08,10.714989041996887,567210,E8_ablation
orchestrated,4,550,36,6,40.0,0.2,148727,0.9611704666940099,0.03882953330599017,6.40436346035467,6.22634486295113,9.736744872601605,37.130389610389614,0.3596630736144506,0.041402905535020185,0.428500382175535,0.327272347759788,5.468288421678201,1.3542857142857143,18.74971171056769,107.73504470933214,15.789233025371562,453.39113914121396,28.71520981498368,3.588174299806966,0,-6.127811502665281e-08,10.759532916010357,569556,E8_ablation
orchestrated,5,550,36,6,40.0,0.2,148738,0.9616574110180317,0.038342588981968295,6.37482263777798,6.172192258995104,9.73116011145214,37.151948051948054,0.35949272024698814,0.04014800064172742,0.43029391906363496,0.32697926277601724,5.547318338494522,1.3503896103896105,17.36936042196642,97.27772368781747,15.821084434793047,455.08599993092395,28.764526338669835,3.5930515092783937,0,-5.868423613719642e-08,10.667619624990039,567327,E8_ablation
orch_no_topups,0,550,36,6,40.0,0.2,149106,0.9489893096186606,0.05101069038133945,6.611229258270921,6.637188764046247,9.783171103798523,36.75324675324675,0.3544365632986393,0.023436311009129327,0.4553074575003823,0.3185162711043886,3.2994028198877103,1.2163636363636363,3.879248268115076,27.537059363257022,15.252929107070827,523.9924128369832,34.35355984143892,3.782253021551094,0,-6.98219082551077e-08,10.679632541985484,571151,E8_ablation
orch_no_topups,1,550,36,6,40.0,0.2,149094,0.9521174561015199,0.04788254389848015,6.568664314977834,6.532710120002351,9.774539397405508,36.871428571428574,0.355824765880749,0.024705217917899782,0.4523527247143986,0.31842256500857913,3.4161327950681515,1.2207792207792207,5.0421955951234745,33.99794544147183,15.401590677485327,528.1812647976332,34.29394248022382,3.5193313399734376,0,-6.859409040771425e-08,10.800488500011852,569962,E8_ablation
orch_no_topups,2,550,36,6,40.0,0.2,148774,0.9544207993332168,0.04557920066678318,6.587534066155118,6.588275117388306,9.769226631132382,36.881298701298704,0.3569554482366858,0.023445021385826506,0.4519978607728013,0.31727611152191343,3.315317040581829,1.2161038961038961,3.876104293494172,28.59236000777809,15.34282132448132,528.5095542061489,34.44669940611563,3.469578976245424,0,-6.799018592573702e-08,10.280695124994963,569255,E8_ablation
orch_no_topups,3,550,36,6,40.0,0.2,148559,0.9490370829098204,0.05096291709017966,6.589322554697122,6.58510353391927,9.772620041876992,36.62025974025973,0.3538301565469104,0.024107042277074518,0.45593440161216653,0.31779298908963516,3.3970907914872592,1.209090909090909,4.630886807584209,32.1825306913866,15.273314554140773,526.1108531881547,34.44640986887289,3.5780454350433315,0,-7.100607035681605e-08,10.725406208017375,567971,E8_ablation
orch_no_topups,4,550,36,6,40.0,0.2,148727,0.9544332905255939,0.04556670947440613,6.5147098859572585,6.427763065442559,9.76109653482563,36.870129870129865,0.35676678720736626,0.023237116938949965,0.45249068158551825,0.31792034757769616,3.301109711226066,1.2161038961038961,3.5142039204361493,26.03850114131825,15.3909479048091,528.7550447036137,34.35493693916003,3.5419743901587135,0,-6.915979611221701e-08,10.631998374999966,567028,E8_ablation
orch_no_topups,5,550,36,6,40.0,0.2,148738,0.949723675187242,0.050276324812758004,6.575517571720555,6.543195077271473,9.775871655599328,36.69090909090909,0.35439597695881425,0.024552941270339357,0.45482048678303577,0.3175053201764391,3.407147660813116,1.211948051948052,4.941880350086594,34.09596714820048,15.437830460936103,530.7363589821618,34.378947244247655,3.721210151184829,0,-6.746631697751582e-08,10.808105375006562,568348,E8_ablation
orch_no_scarce_trigger,0,550,36,6,40.0,0.2,149106,0.9580164446769412,0.041983555323058766,6.389528912881817,6.212743909917481,9.732955943599276,37.10285714285715,0.3583581333797725,0.02743348240340905,0.44340335611764237,0.33011340194753186,5.564581161381471,1.5623376623376621,2.3785214069861804,16.757040365469198,15.945750039366905,483.8397610073347,30.34286626924603,3.391956262508367,0,-5.999390850774944e-08,10.610426332976203,571408,E8_ablation
orch_no_scarce_trigger,1,550,36,6,40.0,0.2,149094,0.9588045125893732,0.041195487410626855,6.354182248010397,6.130036716905064,9.725714629639697,37.130389610389614,0.35876727951428666,0.027986457411953415,0.4426227218198797,0.3296791056666873,5.70910152043064,1.5438961038961039,2.8799170943186314,22.37476953978988,15.845869734091027,477.69177670437773,30.146138061242855,3.402547408439654,0,-5.8775185607373714e-08,10.462481624999782,569370,E8_ablation
orch_no_scarce_trigger,2,550,36,6,40.0,0.2,148774,0.9623522927393228,0.03764770726067727,6.323198461062109,6.10222054112916,9.708690988236922,37.18779220779221,0.36031551679667695,0.0274933165581573,0.4412380702963332,0.3285578751089058,5.664154382771078,1.592987012987013,2.046591424889105,14.60953109787602,15.965678037989942,485.05387711959946,30.381038372778505,3.3753290743341506,0,-5.692345439456403e-08,10.48465979201137,567740,E8_ablation
orch_no_scarce_trigger,3,550,36,6,40.0,0.2,148559,0.9601505125909572,0.03984948740904287,6.32254613756799,6.10222054112916,9.713023076083093,37.04909090909091,0.3585838115998075,0.027408014391134786,0.4437340971563822,0.3293313230790287,5.768479529892354,1.5646753246753247,2.1801729096857465,14.712822617419878,15.964810449339227,482.6096245357202,30.22958688217279,3.4174054444769237,0,-5.8949808590114117e-08,10.543594874994596,567601,E8_ablation
orch_no_scarce_trigger,4,550,36,6,40.0,0.2,148727,0.9579027345404668,0.04209726545953324,6.36117754167892,6.154604307668341,9.732622094981586,37.00415584415584,0.3582095772441627,0.027531866953196087,0.4438869420013409,0.32904363985790364,5.509680970340679,1.562077922077922,2.5139676453888553,17.93213040807755,15.820479367347057,477.5749546151139,30.187135517575577,3.5663573529723895,0,-5.928995960857719e-08,10.459748708992265,569134,E8_ablation
orch_no_scarce_trigger,5,550,36,6,40.0,0.2,148738,0.9582554559023249,0.041744544097675106,6.352106424438443,6.1278098115813915,9.730098342261627,37.020519480519475,0.3580495794860981,0.027346481556153775,0.444573334783831,0.3283783250578108,5.512412883661009,1.545974025974026,2.5046765124120394,17.041297797287424,15.790189376401818,477.2228887125594,30.222746373502094,3.4255612586968875,0,-5.8327714214101434e-08,10.430915667006047,567703,E8_ablation
