segment,n,coverage,mean_width,dimension
anonymous,798,0.7456140350877193,4.220975372550123,user
new_user(<5 prior),5785,0.8082973206568712,2.737341916938079,user
returning,17663,0.8080167581950971,2.557746291891149,user
BRYANT,3845,0.8039011703511053,2.657392094779874,site
CAMBRIDGE,5003,0.8043174095542674,2.441004104013518,site
HAMILTON,2519,0.8273124255657007,2.4489068471244058,site
HIGH,3938,0.8070086338242762,2.4974880805038104,site
MPL,1906,0.8231899265477439,2.9117346583116546,site
RINCONADA LIB,1220,0.7762295081967213,3.6374350401891413,site
TED THOMPSON,2645,0.8,2.6764090115394867,site
WEBSTER,3170,0.7993690851735016,2.801537760700887,site
night,538,0.8550185873605948,1.956822279530899,arrival_time
morning,4817,0.8183516711646253,2.4620503281422805,arrival_time
midday,10342,0.803326242506285,2.569063872785146,arrival_time
evening,6474,0.8064565956132221,2.7286631291106915,arrival_time
late,2075,0.776867469879518,3.486382459373285,arrival_time
