feature,importance,std
u_prior_mean_energy,0.20659203194954648,0.00046494315076483524
u_last_energy,0.02281156497155462,0.00034109250939683475
u_prior_median_dwell,0.015033834093910773,0.0002034261360869647
log_u_hours_since_last,0.013722587095717165,0.0005855515487785381
log_u_prior_n,0.006696630546663862,0.00051527099433746
u_prior_same_site_share,0.006547187708119517,0.00018455238654472916
site_code,0.006221140953272919,0.0003553483321762605
u_prior_mean_log_dwell,0.004332095829327605,0.00020317253434532704
hour_vs_user_usual,0.004118167360869414,0.00015805499893571534
hour_sin,0.003986988806863527,0.0002579415860153381
hour_cos,0.00349052673328946,0.00020666709205027778
u_prior_mean_start_hour,0.002893410986605449,6.272721173498718e-05
u_last_dwell,0.002071746799497324,0.00026104389987570886
u_prior_mean_idle,0.0014103294204678891,0.00017524114077416796
local_driver,0.0013524831405132276,0.00011532113397312189
dow,0.0011076358080126154,0.00016451318484582853
anonymous,0.0009869811046499903,4.9450458418305285e-05
level1,0.00028827304295679185,4.8544947064017e-05
temp_c,0.0002666069709962489,1.270884379780451e-05
month,0.0002230239673098692,5.333970460358362e-05
site_active_at_start,0.00015945498679081904,4.890185083842726e-05
weekend,1.732596889841842e-05,1.305138558541828e-05
holiday,3.0085312374694695e-07,1.1245517715433732e-06
fee_regime,0.0,0.0
precip_mm,-9.01162283893179e-06,1.76329077511091e-05
