,sessions,energy_kwh,users,mean_energy,mean_connected_h,mean_idle_h,temp_c,precip_mm,holiday,dow,stations
2015-01-01,21,180.642009,18,8.60200042857143,2.208201058201058,0.31837301587301586,8.09047619047619,0.0,True,3,22
2015-01-02,35,248.661405,33,7.104611571428571,2.527619047619048,0.4664761904761905,8.497142857142858,0.0,False,4,22
2015-01-03,33,275.769846,30,8.356662,2.138190235690236,0.15825757575757576,10.342424242424244,0.0,False,5,22
2015-01-04,41,348.513505,39,8.500329390243902,2.2894376693766936,0.4271138211382114,11.214634146341464,0.0,False,6,22
2015-01-05,51,380.582562,41,7.4624031764705885,2.5181427015250546,0.38071895424836605,10.113725490196078,0.0,False,0,22
2015-01-06,50,419.456326,40,8.38912652,2.6577499999999996,0.3768444444444444,13.847999999999999,0.0,False,1,22
2015-01-07,51,365.117264,44,7.159162039215686,2.2210729847494552,0.28116557734204795,15.417647058823528,0.0,False,2,22
2015-01-08,59,404.213717,42,6.851079949152542,2.3019114877589453,0.40229755178907717,13.830508474576272,0.0,False,3,22
2015-01-09,49,405.491986,45,8.275346653061224,3.1385374149659864,0.7626360544217686,14.3,0.0,False,4,22
2015-01-10,44,378.05080399999997,39,8.592063727272727,2.678945707070707,0.6833775252525253,14.004545454545456,0.0,False,5,22
2015-01-11,38,277.278641,37,7.296806342105263,1.8374561403508773,0.21299707602339182,13.507894736842104,0.0,False,6,22
2015-01-12,40,281.755611,34,7.043890275,3.1738472222222223,0.8246319444444443,12.575,0.0,False,0,22
2015-01-13,39,281.226786,35,7.210943230769231,2.5338675213675215,0.6216310541310541,12.597435897435897,0.0,False,1,22
2015-01-14,50,407.360996,44,8.14721992,2.407877777777778,0.19558888888888887,11.432,0.0,False,2,22
2015-01-15,54,413.033775,44,7.648773611111111,2.6276388888888893,0.4314814814814815,12.694444444444445,0.0,False,3,22
2015-01-16,48,335.911673,46,6.9981598541666665,2.5855671296296294,0.5964178240740741,13.395833333333334,0.0,False,4,22
2015-01-17,50,369.955098,47,7.39910196,2.313438888888889,0.6433944444444444,14.636,0.0,False,5,22
2015-01-18,36,334.688453,35,9.296901472222222,2.8179552469135802,0.26962962962962966,15.347222222222221,0.0,False,6,22
2015-01-19,35,278.880772,32,7.968022057142856,2.384920634920635,0.3322063492063492,14.24,0.0,True,0,22
2015-01-20,46,332.926097,42,7.237523847826088,2.461564009661836,0.4079951690821257,11.893478260869566,0.0,False,1,22
2015-01-21,54,464.91866,48,8.609604814814814,3.0138631687242796,0.5786779835390946,11.42222222222222,0.0,False,2,22
2015-01-22,51,491.667568,44,9.640540549019608,2.729760348583878,0.2662745098039216,10.752941176470587,0.0,False,3,22
2015-01-23,67,478.523289,58,7.142138641791044,2.206558872305141,0.26176616915422884,13.385074626865672,0.0,False,4,22
2015-01-24,40,297.774487,35,7.444362175,1.8631041666666668,0.13886805555555554,15.02,0.0,False,5,22
2015-01-25,38,389.255875,28,10.243575657894738,2.7423976608187135,0.4842470760233918,14.657894736842104,0.0,False,6,22
2015-01-26,51,368.823893,41,7.231841039215686,2.6792538126361656,0.4163888888888889,15.288235294117648,0.0,False,0,22
2015-01-27,56,478.99103,48,8.55341125,2.5149751984126985,0.26637400793650795,15.5375,0.0,False,1,22
2015-01-28,54,376.195428,48,6.966582,2.3635493827160494,0.20366255144032921,14.374074074074075,0.0,False,2,22
2015-01-29,55,536.50507,49,9.754637636363638,2.903888888888889,0.26367171717171717,13.710909090909091,0.0,False,3,22
2015-01-30,59,388.636286,49,6.587055694915254,2.5113182674199623,0.7139453860640301,14.471186440677965,0.0,False,4,22
2015-01-31,50,343.265474,44,6.86530948,2.4863,0.7227277777777777,16.496,0.0,False,5,22
2015-02-01,49,428.268194,43,8.740167224489795,2.106609977324263,0.1773922902494331,15.275510204081632,0.0,False,6,22
2015-02-02,54,428.763825,46,7.940070833333333,2.535519547325103,0.4591872427983539,15.022222222222224,0.0,False,0,22
2015-02-03,60,409.304135,48,6.821735583333333,2.5251435185185187,0.6398935185185184,15.981666666666666,0.0,False,1,22
2015-02-04,51,427.24179300000003,43,8.37729005882353,2.727696078431373,0.28219498910675384,14.315686274509805,0.0,False,2,22
2015-02-05,58,452.456859,44,7.800980327586207,2.494942528735632,0.41763888888888884,13.336206896551724,0.0,False,3,22
