design,outcome,log_effect,se,n_days,pct_effect,pct_ci_low,pct_ci_high,bandwidth_days,stations
its,sessions,-0.33705355210490484,0.026701037752648912,120,-0.2861293903947013,-0.322528359469589,-0.24777478971776246,60.0,24
its,sessions,-0.33600460703538604,0.026589013188208575,180,-0.28538018647029495,-0.3216684324411425,-0.24715065270065073,90.0,24
its,sessions,-0.35373713984431254,0.04581508602486969,240,-0.2979405134311016,-0.35823604128652164,-0.2319800512489678,120.0,24
its,sessions,-0.41106309860166407,0.04321401974779219,360,-0.33705490062778676,-0.3908937604497503,-0.2784572275829126,180.0,24
yoy_did,sessions,-0.5689130860782102,0.02541363707881869,334,-0.433859549656202,-0.4613686074025113,-0.40494554546880157,,22
yoy_placebo_2016,sessions,0.09321876805417453,0.027484118232571988,335,0.0977018511003167,0.040134359169938794,0.1584554853765725,,14
its,energy_kwh,-0.5221893322243952,0.036539249359544404,120,-0.40677963124208627,-0.4477786192210099,-0.36273672451281513,60.0,24
its,energy_kwh,-0.5335880876340786,0.03280681423210304,180,-0.41350321210242325,-0.4500288427690551,-0.3745517784131158,90.0,24
its,energy_kwh,-0.5633373745030356,0.046739726918379194,240,-0.43069409716978646,-0.4805305305439346,-0.3760764971679701,120.0,24
its,energy_kwh,-0.6275417797054107,0.04522748984222688,360,-0.4660973605143597,-0.5113885371325086,-0.4166079797292065,180.0,24
yoy_did,energy_kwh,-0.7183235188246816,0.024466523451126702,334,-0.5124310286331527,-0.5352603416916961,-0.4884802758063267,,22
yoy_placebo_2016,energy_kwh,0.020924457288410997,0.03755097193442485,335,0.021144908668444762,-0.05131213865245443,0.09913594026421979,,14
its,users,-0.3525677342670083,0.024371912167003913,120,-0.2971190409282597,-0.3299056007469924,-0.26272829145215104,60.0,24
its,users,-0.3476718982589713,0.025883787553120197,180,-0.2936694135047967,-0.32860935080929365,-0.2569111618995066,90.0,24
its,users,-0.3581540636955831,0.043573473062027926,240,-0.30103461847885127,-0.3582510342859957,-0.23871695839595852,120.0,24
its,users,-0.3970271831450276,0.03724897153724872,360,-0.3276842502722691,-0.3750197110093616,-0.27676364311910073,180.0,24
yoy_did,users,-0.5309846597390695,0.022631766024773445,334,-0.41197432068874795,-0.4374880615105964,-0.38530335825757234,,22
yoy_placebo_2016,users,0.06880185520178661,0.0278481449767658,335,0.07122393066851873,0.014321068900889244,0.13131901211551922,,14
its,mean_energy,-0.18513578011949017,0.01723832590906306,120,-0.16900855592597197,-0.19661634247149085,-0.14045204473214767,60.0,24
its,mean_energy,-0.1975834805986914,0.013846002536335748,180,-0.17928837572987577,-0.2012614797757687,-0.15671079689131096,90.0,24
its,mean_energy,-0.20960023465872335,0.012048997664314533,240,-0.18909164576277948,-0.20801772706875787,-0.16971328595784596,120.0,24
its,mean_energy,-0.21647868110374546,0.010354458247747701,360,-0.19465029609355478,-0.21082992150538615,-0.17813895476192243,180.0,24
yoy_did,mean_energy,-0.14941043274647142,0.01415323405377611,334,-0.13878442872124208,-0.16234651926323496,-0.11455956756648855,,22
yoy_placebo_2016,mean_energy,-0.07229431076576365,0.020033333167395646,335,-0.06974292915251323,-0.1055619578480087,-0.03248947710266015,,14
its,mean_connected_h,-0.3216918347127923,0.019461194053725716,120,-0.27507844842981244,-0.30220908866622964,-0.24689294830960717,60.0,24
its,mean_connected_h,-0.34905341380636923,0.02081768418070498,180,-0.29464454645588245,-0.32284567294336364,-0.26526894097094755,90.0,24
its,mean_connected_h,-0.35547111977392865,0.017883715729818023,240,-0.2991568156636256,-0.323297270768939,-0.27415518245525694,120.0,24
its,mean_connected_h,-0.3207396960684051,0.014767079872988425,360,-0.2743878939067592,-0.29508861042783907,-0.25307927166756317,180.0,24
yoy_did,mean_connected_h,-0.26708903759832114,0.017192782159117688,334,-0.2343950991910877,-0.2597644929388,-0.20815624412601486,,22
yoy_placebo_2016,mean_connected_h,-0.05987169678960723,0.01969019358503764,335,-0.058114627250797746,-0.09377211531414897,-0.02105411851629513,,14
its,mean_idle_h,-0.9587779096803128,0.07716869807802075,120,-0.6166388982927774,-0.6704504503066413,-0.5540405549365033,60.0,24
its,mean_idle_h,-1.0387152458360214,0.08699565334762506,180,-0.6460909238368742,-0.7015720433087284,-0.580295239161484,90.0,24
its,mean_idle_h,-1.0473706343931015,0.07449880103201892,240,-0.6491409258874438,-0.6968077797702159,-0.593980050695815,120.0,24
its,mean_idle_h,-0.8370735218190262,0.0754183446479988,360,-0.5670242346952267,-0.6265209912006708,-0.49804939789271785,180.0,24
yoy_did,mean_idle_h,-0.6995839260349935,0.06371290721259323,334,-0.5032080370025018,-0.5615288334972666,-0.43713002506547005,,22
yoy_placebo_2016,mean_idle_h,-0.15665164071840426,0.06307402179535436,335,-0.1449981452234267,-0.2444253726843385,-0.032487135958346514,,14
