month,mean,std,size,effect,se,year,outcome
2,0.10450927446470833,0.1301011580520747,28,0.026873021402925343,0.024586807820521295,2017,sessions
3,0.11637340877426867,0.08553309535463002,31,0.03873715571248569,0.015362197424453264,2017,sessions
4,0.06525855795168706,0.10489339443405254,30,-0.012377695110095926,0.019150826088272472,2017,sessions
5,0.08945769573222452,0.08263763091580661,31,0.011821442670441537,0.0148421566594106,2017,sessions
6,0.10557281451563633,0.07596682018692856,30,0.027936561453853342,0.01386958034610653,2017,sessions
7,-0.012251719179035562,0.17867881878397143,31,-0.08988797224081854,0.03209166321348257,2017,sessions
8,-0.41819331882877364,0.10658569781604627,31,-0.49582957189055665,0.01914335644798555,2017,sessions
9,-0.45563335176174063,0.12085281725039138,30,-0.5332696048235236,0.02206460471536294,2017,sessions
10,-0.5394645944000395,0.11153384099303561,31,-0.6171008474618225,0.02003206919776045,2017,sessions
11,-0.560469126378633,0.2046140047062024,30,-0.638105379440416,0.037357235319685086,2017,sessions
12,-0.47695419742771816,0.24143179996279504,31,-0.5545904504895012,0.043362431351185705,2017,sessions
2,0.12257909397102962,0.1417889805518481,28,0.006913633731984975,0.026795598656397416,2017,energy_kwh
3,0.10712128163690897,0.1013453739144043,31,-0.008544178602135674,0.01820216649091302,2017,energy_kwh
4,0.0880194547744473,0.1073041532730032,30,-0.027646005464597348,0.019590968420538552,2017,energy_kwh
5,0.14071879942544285,0.08951362448062275,31,0.02505333918639821,0.016077121560353562,2017,energy_kwh
6,0.17925373832082275,0.12033897361695294,30,0.06358827808177811,0.021970790132341392,2017,energy_kwh
7,0.05812888278345948,0.16393852387176355,31,-0.057536577455585165,0.029444228093811742,2017,energy_kwh
8,-0.5342821880101123,0.11784079701711592,31,-0.649947648249157,0.02116483193933498,2017,energy_kwh
9,-0.5932290989911994,0.14222212956306968,30,-0.708894559230244,0.025966089512705206,2017,energy_kwh
10,-0.6891383334296636,0.17594331699271862,31,-0.8048037936687082,0.03160035258806983,2017,energy_kwh
11,-0.6543611145322911,0.21283001975516036,30,-0.7700265747713357,0.03885726757805715,2017,energy_kwh
12,-0.555985389534921,0.2173504626768244,31,-0.6716508497739657,0.03903729549473031,2017,energy_kwh
2,0.10565269071592523,0.1378810293654451,28,0.02665884883860062,0.02605706530104012,2017,users
3,0.11686326990765976,0.09512056120814627,31,0.03786942803033515,0.017084157124745442,2017,users
4,0.06259619415151028,0.09717197188699765,30,-0.016397647725814327,0.017741093653255484,2017,users
5,0.07592490894206676,0.08737572070960518,31,-0.0030689329352578537,0.01569314270785577,2017,users
6,0.10736447203435659,0.07287375664949415,30,0.02837063015703198,0.013304866789023347,2017,users
7,0.00852762934942967,0.17355030914228145,31,-0.07046621252789494,0.031170555690339614,2017,users
8,-0.39625520933634184,0.11043409557945556,31,-0.47524905121366645,0.019834549090601845,2017,users
9,-0.4207641675536306,0.1145357618273966,30,-0.4997580094309552,0.02091127346463475,2017,users
10,-0.4901487544006594,0.11241466395924427,31,-0.569142596277984,0.020190269672638476,2017,users
11,-0.5208095018367469,0.2095574071185009,30,-0.5998033437140715,0.03825977299036554,2017,users
12,-0.4169514600538559,0.23789134391492453,31,-0.4959453019311805,0.042726546673395406,2017,users
2,0.018069819506321378,0.09910646089883973,28,-0.019959387670940274,0.01872936063271977,2017,mean_energy
3,-0.009252127137359603,0.0877352636152936,31,-0.047281334314621254,0.015757718520023525,2017,mean_energy
4,0.02276089682276026,0.10862687625615745,30,-0.015268310354501394,0.019832463492273255,2017,mean_energy
5,0.051261103693218325,0.09685233086610823,31,0.013231896515956673,0.0173951921372045,2017,mean_energy
6,0.07368092380518627,0.09472838750128158,30,0.03565171662792462,0.01729495822351412,2017,mean_energy
7,0.070380601962495,0.08939319427731392,31,0.03235139478523335,0.016055491657315134,2017,mean_energy
8,-0.11608886918133847,0.07223178712918962,31,-0.15411807635860011,0.012973211943271815,2017,mean_energy
9,-0.13759574722945844,0.08764937813423537,30,-0.1756249544067201,0.016002513851806927,2017,mean_energy
10,-0.1496737390296242,0.12734091884525986,31,-0.18770294620688585,0.02287110418956993,2017,mean_energy
11,-0.09389198815365801,0.10051784640296194,30,-0.13192119533091967,0.018351963968913924,2017,mean_energy
12,-0.07903119210720304,0.13524314344412175,31,-0.11706039928446468,0.02429038562533193,2017,mean_energy
2,0.02599843361481728,0.1185985501792194,28,0.008298815058607367,0.022413019259073526,2017,mean_connected_h
3,-0.01670953065289783,0.09229463207664095,31,-0.034409149209107745,0.016576605269575165,2017,mean_connected_h
4,0.012798623866610537,0.12159569436371968,30,-0.004900994689599375,0.022200234899504352,2017,mean_connected_h
5,0.013580431859561613,0.10179199166404786,31,-0.0041191866966482985,0.01828238140672827,2017,mean_connected_h
6,0.050476860869443044,0.10097327296445666,30,0.03277724231323313,0.01843511310258648,2017,mean_connected_h
7,0.021755236708739537,0.10930412580083837,31,0.004055618152529625,0.019631600527232177,2017,mean_connected_h
8,-0.29808292252074725,0.08879113887258225,31,-0.31578254107695714,0.01594735931451145,2017,mean_connected_h
9,-0.31573453644386723,0.11419564591791335,30,-0.3334341550000771,0.020849177079371294,2017,mean_connected_h
10,-0.2797065628789601,0.11084188645271262,31,-0.29740618143517006,0.01990779049355694,2017,mean_connected_h
11,-0.20054152993935268,0.10146721634295866,30,-0.2182411484955626,0.0185252944127651,2017,mean_connected_h
12,-0.19637343258920928,0.15143117250986055,31,-0.2140730511454192,0.027197841474902156,2017,mean_connected_h
2,0.025426143667942738,0.28840158423558193,28,0.0590025996226851,0.054502776400313986,2017,mean_idle_h
3,-0.060042638126178924,0.23992271985497327,31,-0.026466182171436557,0.04309139256263778,2017,mean_idle_h
4,-0.06418833576044411,0.2856749984516686,30,-0.030611879805701743,0.0521568802557441,2017,mean_idle_h
5,-0.03100332166222409,0.27398937917896504,31,0.002573134292518278,0.04920994519956657,2017,mean_idle_h
6,-0.008908900832132405,0.21323983367438742,30,0.02466755512260996,0.03893208902070391,2017,mean_idle_h
7,-0.057223506428805714,0.31618836374874726,31,-0.023647050474063347,0.05678910656844552,2017,mean_idle_h
8,-0.9622142170811451,0.30422711952221887,31,-0.9286377611264027,0.05464080368652387,2017,mean_idle_h
9,-0.9730154849504927,0.483806669581994,30,-0.9394390289957504,0.0883306088005022,2017,mean_idle_h
10,-0.7345976925271097,0.3550620904873341,31,-0.7010212365723674,0.06377103400023573,2017,mean_idle_h
11,-0.5133996966334526,0.30289072271046175,30,-0.4798232406787103,0.05530002709585407,2017,mean_idle_h
12,-0.6007113912092773,0.4361787722427099,31,-0.567134935254535,0.07834002012631978,2017,mean_idle_h
2,0.16990065012396371,0.13451557920236173,29,0.030538530945517145,0.024978915970064568,2016,sessions
3,0.16064603319022763,0.1531107064095386,31,0.021283914011781063,0.027499494668218043,2016,sessions
4,0.08959310618621737,0.1300072547046624,30,-0.0497690129922292,0.023735968680354408,2016,sessions
